property_id,address,latitude,longitude,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,dem_resolution_m,depth_lower_ft,depth_upper_ft,depth_ci_ft
HARV-00437,"9015 Manhattan Drive, Houston, TX, 77096",29.679472,-95.472585,0.0,0.0,1,1,0.0,0.0,23.208,1,0.0,0.0,0.0
HARV-00438,"5207 Braesvalley Drive, Houston, TX, 77096",29.679292,-95.47314,0.0,0.0,1,1,0.0,0.0,23.59,1,0.0,0.0,0.0
HARV-00439,"9007 Manhattan Drive, Houston, TX, 77096",29.680022,-95.472767,0.0,0.0,1,1,0.0,0.0,23.226,1,0.0,0.0,0.0
HARV-00440,"5215 Braesvalley Drive, Houston, TX, 77096",29.679188,-95.473679,0.0,0.0,1,1,0.0,0.0,23.257,1,0.0,0.0,0.0
HARV-00441,"8923 Manhattan Drive, Houston, TX, 77096",29.680468,-95.472902,0.0,0.0,1,1,0.0,0.0,18.589,1,0.0,0.0,0.0
HARV-00442,"5203 Braesvalley Drive, Houston, TX, 77096",29.67931,-95.472891,0.0,0.0,1,1,0.0,0.0,23.508,1,0.0,0.0,0.0
HARV-00443,"5211 Braesvalley Drive, Houston, TX, 77096",29.679246,-95.473457,0.0,0.0,1,1,0.0,0.0,23.466,1,0.0,0.0,0.0
HARV-00444,"5210 Jason Street, Houston, TX, 77096",29.684324,-95.473136,0.0,0.0,1,1,0.0,0.0,2.027,1,0.0,0.0,0.0
HARV-00445,"5226 Jason Street, Houston, TX, 77096",29.684413,-95.474162,0.0,0.0,1,1,0.0,0.0,3.101,1,0.0,0.0,0.0
HARV-00446,"5230 Jason Street, Houston, TX, 77096",29.684421,-95.474431,0.0,0.0,1,1,0.0,0.0,4.312,1,0.0,0.0,0.0
HARV-00447,"3131 West Bellfort Street, Houston, TX, 77054",29.672012,-95.429005,0.0,0.0,1,1,0.0087,0.0,3.778,1,0.0,0.0,0.0
HARV-00448,"3025 Kirby Drive, Houston, TX, 77098",29.737882,-95.417977,0.0,0.0,1,1,0.1162,0.0,15.867,1,0.0,0.0,0.0
HARV-00449,"9330 West Airport Boulevard, Houston, TX, 77031",29.642262,-95.542693,0.0,0.0,1,1,0.0,0.0,4.027,1,0.0,0.0,0.0
